"country","totalScore","readingScore","mathScore","scienceScore"
"China","1731","556","600","575"
"Hong Kong","1637","533","555","549"
"Finland","1631","536","541","554"
"Singapore","1630","526","562","542"
"South Korea","1623","539","546","538"
"Japan","1588","520","529","539"
"Canada","1580","524","527","529"
"New Zealand","1572","521","519","532"
"Taiwan","1558","495","543","520"
"Netherlands","1556","508","526","522"
"Australia","1556","515","514","527"
"Liechtenstein","1555","499","536","520"
"Switzerland","1552","501","534","517"
"Estonia","1541","501","512","528"
"Germany","1530","497","513","520"
"Belgium","1528","506","515","507"
"Macau","1523","487","525","511"
"Iceland","1503","500","507","496"
"Poland","1503","500","495","508"
"Norway","1501","503","498","500"
"United Kingdom","1500","494","492","514"
"Denmark","1497","495","503","499"
"Slovenia","1496","483","501","512"
"Ireland","1491","496","487","508"
"France","1491","496","497","498"
"United States","1489","500","487","502"
"Hungary","1487","494","490","503"
"Sweden","1486","497","494","495"
"Czech Republic","1471","478","493","500"
"Portugal","1469","489","487","493"
"Slovakia","1464","477","497","490"
"Latvia","1460","484","482","494"
"Austria","1460","470","496","494"
"Italy","1458","486","483","489"
"Spain","1452","481","483","488"
"Luxembourg","1445","472","489","484"
"Lithuania","1436","468","477","491"
"Croatia","1422","476","460","486"
"Greece","1419","483","466","470"
"Russia","1405","459","468","478"
"United Arab Emirates","1378","459","453","466"
"Israel","1376","474","447","455"
"Turkey","1363","464","445","454"
"Serbia","1327","442","442","443"
"Chile","1317","449","421","447"
"Bulgaria","1296","429","428","439"
"Uruguay","1280","426","427","427"
"Romania","1279","424","427","428"
"Thailand","1265","421","419","425"
"Mexico","1260","425","419","416"
"Trinidad and Tobago","1240","416","414","410"
"Montenegro","1212","408","403","401"
"Jordan","1207","405","387","415"
"Brazil","1203","412","386","405"
"Colombia","1196","413","381","402"
"Kazakhstan","1195","390","405","400"
"Argentina","1187","398","388","401"
"Tunisia","1176","404","371","401"
"Azerbaijan","1166","362","431","373"
"Indonesia","1156","402","371","383"
"Albania","1153","385","377","391"
"Qatar","1119","372","368","379"
"Panama","1107","371","360","376"
"Peru","1104","370","365","369"
"Kyrgyzstan","975","314","331","330"
